symbol,quotedate,open,high,low,close,volume
A,6/24/2024,135.3,137.71,134.34,135.08,3332932
AA,6/24/2024,40.42,41.57,40.42,40.56,4959256
AADI,6/24/2024,1.66,1.8,1.66,1.75,377112
AAL,6/24/2024,11.22,11.34,11.15,11.16,24858781
AAN,6/24/2024,9.9,9.96,9.87,9.91,1556715
AAOI,6/24/2024,9.04,9.14,8.65,8.67,1548405
AAON,6/24/2024,79.51,80.72,78.79,79.99,755808
AAP,6/24/2024,65.67,66.08,64.98,65.3,1447164
AAPB,6/24/2024,24.69,25.88,24.4485,24.82,323500
AAPD,6/24/2024,18.7,18.79,18.245,18.64,320007
AAPL,6/24/2024,207.72,212.7,206.59,208.14,77828313
AAPU,6/24/2024,31.9,33.45,31.58,32.08,1572401
AAPX,6/24/2024,28.68,30.11,28.571,28.86,342
AAPY,6/24/2024,26.55,26.61,26.5318,26.5318,54
AAT,6/24/2024,21.62,21.88,21.48,21.61,212570
AAUAF,6/24/2024,0.06,0.07,0.059,0.07,45495
AAXJ,6/24/2024,72.19,72.67,72.09,72.1,268268
AB,6/24/2024,33.52,34.14,33.51,33.72,177911
ABAT,6/24/2024,1.04,1.055,1.02,1.02,426857
ABBV,6/24/2024,171.13,173.41,170.7,172.74,5643088
ABCB,6/24/2024,47.99,49.11,47.65,48.46,267161
ABCL,6/24/2024,2.9,2.97,2.79,2.79,2951823
ABEO,6/24/2024,4.59,4.63,4.3,4.35,270947
ABEV,6/24/2024,2.1,2.12,2.08,2.1,14220641
ABG,6/24/2024,229.84,234.8,228.46,229.76,167959
ABIO,6/24/2024,3.41,3.6,3.41,3.49,33097
ABM,6/24/2024,52.43,52.685,51.25,51.27,1035001
ABNB,6/24/2024,149.15,150.04,146.71,148.39,4521942
ABOS,6/24/2024,2.31,2.385,2.2,2.24,412932
ABR,6/24/2024,14.16,14.28,14.06,14.2,1815330
ABSI,6/24/2024,3.03,3.11,2.97,3.04,2157153
ABT,6/24/2024,106.29,106.29,104.9401,105.3,5053327
